1. 's avond (noun, A1)
2. 's middag (noun, A1)
3. 's morgen (noun, A1)
4. 's ochtend (noun, A1)
5. Meneer (noun, A1)
6. [[:digit:]]+de (num, A1)
7. aan de man (noun, A1)
8. aan het (prep, A1)
9. aantrekken (verb, A1)
10. aardappel (noun, A1)
11. aardbei (noun, A1)
12. aardig (adj, A1)
13. acht uur (noun, A1)
14. achter (prep, A1)
15. achternaam (noun, A1)
16. activiteit (noun, A1)
17. administratie (noun, A1)
18. adres (noun, A1)
19. af (prep, A1)
20. af en toe (prep, A1)
21. afscheid (noun, A1)
22. afspraak (noun, A1)
23. afvallen (verb, A1)
24. afwas (noun, A1)
25. allebei (pron, A1)
26. alleen (adv, A1)
27. allemaal (adv, A1)
28. alles (pron, A1)
29. amerikaanse (adj, A1)
30. ander (adj, A1)
31. anders (adv, A1)
32. antwoord (noun, A1)
33. apart (adj, A1)
34. appartement (noun, A1)
35. appel (noun, A1)
36. appelsap (noun, A1)
37. apps (noun, A1)
38. arm (adj, A1)
39. auto (noun, A1)
40. autorijden (verb, A1)
41. avond (noun, A1)
42. avondeten (noun, A1)
43. aziatisch (adj, A1)
44. baan (noun, A1)
45. baas (noun, A1)
46. badkamer (noun, A1)
47. bakker (noun, A1)
48. balkon (noun, A1)
49. banaan (noun, A1)
50. bank (noun, A1)
51. bankzaak (noun, A1)
52. barsten (verb, A1)
53. bed (noun, A1)
54. bedanken (verb, A1)
55. bedrijf (noun, A1)
56. been (noun, A1)
57. beet (noun, A1)
58. begaan (adj, A1)
59. begrijpen (verb, A1)
60. bekend (adj, A1)
61. belangrijk (adj, A1)
62. bellen (verb, A1)
63. benzine (noun, A1)
64. berging (noun, A1)
65. best (adj, A1)
66. bestaan (verb, A1)
67. besturen (verb, A1)
68. bewoner (noun, A1)
69. bier (noun, A1)
70. bij elkaar (prep, A1)
71. bijna (adv, A1)
72. bijvoorbeeld (adv, A1)
73. bijzonder (adj, A1)
74. binnen (prep, A1)
75. blaffen (verb, A1)
76. blijven (verb, A1)
77. bloes (noun, A1)
78. blond (adj, A1)
79. boek (noun, A1)
80. boodschap (noun, A1)
81. boot (noun, A1)
82. bord (noun, A1)
83. boterham (noun, A1)
84. boterstraat (noun, A1)
85. boven (prep, A1)
86. bovenkast (noun, A1)
87. brief (noun, A1)
88. brievenbus (noun, A1)
89. broek (noun, A1)
90. broer (noun, A1)
91. brood (noun, A1)
92. buiten (prep, A1)
93. buitenland (noun, A1)
94. bus (noun, A1)
95. buschauffeur (noun, A1)
96. bushalte (noun, A1)
97. busstation (noun, A1)
98. buur (noun, A1)
99. buurt (noun, A1)
100. ca (noun, A1)
101. cadeau (noun, A1)
102. café (noun, A1)
103. calorie (noun, A1)
104. caravan (noun, A1)
105. centrum (noun, A1)
106. chauffeur (noun, A1)
107. chip (noun, A1)
108. chocola (noun, A1)
109. cijfer (noun, A1)
110. cola (noun, A1)
111. collega (noun, A1)
112. computer (noun, A1)
113. controleren (verb, A1)
114. crèmespoeling (noun, A1)
115. dank (noun, A1)
116. danken (verb, A1)
117. dansen (verb, A1)
118. dansfeest (noun, A1)
119. dansles (noun, A1)
120. datum (noun, A1)
121. de (det, A1)
122. deel (noun, A1)
123. deur (noun, A1)
124. dezelfde (adj, A1)
125. dicht (adj, A1)
126. dicht bij (adj, A1)
127. dik (adj, A1)
128. ding (noun, A1)
129. docent (noun, A1)
130. dochter (noun, A1)
131. dokter (noun, A1)
132. dollar (noun, A1)
133. dom (adj, A1)
134. donker (adj, A1)
135. dood (adj, A1)
136. doos (noun, A1)
137. dorp (noun, A1)
138. dorst (noun, A1)
139. douche (noun, A1)
140. douchen (verb, A1)
141. dragen (verb, A1)
142. drie uur (noun, A1)
143. drug (noun, A1)
144. duren (verb, A1)
145. e-mail (noun, A1)
146. echt (adj, A1)
147. eenvoudig (adj, A1)
148. ei (noun, A1)
149. eigen (adj, A1)
150. eiland (noun, A1)
151. elektriciteit (noun, A1)
152. elf uur (noun, A1)
153. elk (pron, A1)
154. elkaar (pron, A1)
155. erg (adj, A1)
156. ergens (pron, A1)
157. euro (noun, A1)
158. exclusief (adj, A1)
159. extra (adj, A1)
160. eén (num, A1)
161. fabriek (noun, A1)
162. familie (noun, A1)
163. faust (noun, A1)
164. favoriet (adj, A1)
165. feest (noun, A1)
166. feliciteren (verb, A1)
167. fiets (noun, A1)
168. fijn (adj, A1)
169. file (noun, A1)
170. film (noun, A1)
171. flat (noun, A1)
172. fles (noun, A1)
173. formulier (noun, A1)
174. foto (noun, A1)
175. fotoshoots (noun, A1)
176. fris (adj, A1)
177. frisdrank (noun, A1)
178. fruit (noun, A1)
179. garage (noun, A1)
180. gas (noun, A1)
181. gebruiken (verb, A1)
182. gek (adj, A1)
183. geld (noun, A1)
184. genoeg (adv, A1)
185. geschiedenis (noun, A1)
186. geschiedenisboek (noun, A1)
187. geschiedenisles (noun, A1)
188. geven (verb, A1)
189. gewoon (adj, A1)
190. gezin (noun, A1)
191. gezond (adj, A1)
192. glimlachen (verb, A1)
193. godsdienstles (noun, A1)
194. goed (adj, A1)
195. gooien (verb, A1)
196. gordijn (noun, A1)
197. gratis (adj, A1)
198. griep (noun, A1)
199. groente (noun, A1)
200. groentewinkel (noun, A1)
201. groep (noun, A1)
