1. abaisser (verb, A1)
2. abandon (noun, A1)
3. abandonner (verb, A1)
4. abidjan (noun, A1)
5. aboyer (verb, A1)
6. abri (noun, A1)
7. abricot (noun, A1)
8. abriter (verb, A1)
9. absence (noun, A1)
10. absent (adj, A1)
11. absolu (adj, A1)
12. absolument (adv, A1)
13. abîmer (verb, A1)
14. académie (noun, A1)
15. accent (noun, A1)
16. accepter (verb, A1)
17. accident (noun, A1)
18. accompagner (verb, A1)
19. accompagné (adj, A1)
20. accomplir (verb, A1)
21. accor (noun, A1)
22. accorder (verb, A1)
23. accoucher (verb, A1)
24. accueil (noun, A1)
25. accueillant (adj, A1)
26. accueillir (verb, A1)
27. accumuler (verb, A1)
28. accuser (verb, A1)
29. accès (noun, A1)
30. acharnement (noun, A1)
31. achat (noun, A1)
32. achetent (verb, A1)
33. acheter (verb, A1)
34. achever (verb, A1)
35. achour (noun, A1)
36. acquérir (verb, A1)
37. acte (noun, A1)
38. acteur (noun, A1)
39. actif (adj, A1)
40. action (noun, A1)
41. actionner (verb, A1)
42. activité (noun, A1)
43. actualité (noun, A1)
44. actuel (adj, A1)
45. actuellement (adv, A1)
46. adapter (verb, A1)
47. addition (noun, A1)
48. adha (other, A1)
49. adhérent (noun, A1)
50. admettre (verb, A1)
51. administratif (adj, A1)
52. administration (noun, A1)
53. admirable (adj, A1)
54. admirateur (noun, A1)
55. admiration (noun, A1)
56. admirer (verb, A1)
57. ado (noun, A1)
58. adolescent (noun, A1)
59. adopter (verb, A1)
60. adorable (adj, A1)
61. adoubement (noun, A1)
62. adresse (noun, A1)
63. adresse e - mail (noun, A1)
64. adulte (noun, A1)
65. adversaire (noun, A1)
66. affaire (noun, A1)
67. affaires (noun, A1)
68. affectation (noun, A1)
69. affection (noun, A1)
70. affectueux (adj, A1)
71. affiche (noun, A1)
72. affirmatif (adj, A1)
73. affoler (verb, A1)
74. affronter (verb, A1)
75. afin de (other, A1)
76. africain (noun, A1)
77. agacer (verb, A1)
78. agence (noun, A1)
79. agir (verb, A1)
80. agitation (noun, A1)
81. agiter (verb, A1)
82. agité (adj, A1)
83. agnès (noun, A1)
84. agression (noun, A1)
85. agricole (adj, A1)
86. agriculture (noun, A1)
87. agréable (adj, A1)
88. agréablement (adv, A1)
89. agrément (noun, A1)
90. ah (adv, A1)
91. ah ah (adv, A1)
92. ah bon (adv, A1)
93. ah non (adv, A1)
94. ah ouais (adv, A1)
95. ah oui (adv, A1)
96. aide (noun, A1)
97. aider (verb, A1)
98. aiguille (noun, A1)
99. ail (noun, A1)
100. aile (noun, A1)
101. ailleurs (adv, A1)
102. aimable (adj, A1)
103. aime (noun, A1)
104. aimé (adj, A1)
105. ainsi (adv, A1)
106. air (noun, A1)
107. aiùe (verb, A1)
108. ajouter (verb, A1)
109. album (noun, A1)
110. albâtre (noun, A1)
111. alcool (noun, A1)
112. alcoolique (adj, A1)
113. alcoolisme (noun, A1)
114. alex (noun, A1)
115. alexandre (noun, A1)
116. alibi (noun, A1)
117. alice (noun, A1)
118. aliment (noun, A1)
119. alimentaire (adj, A1)
120. alimentation (noun, A1)
121. allemand (noun, A1)
122. allemands (noun, A1)
123. aller - retour (noun, A1)
124. allergique (adj, A1)
125. allier (verb, A1)
126. allo (noun, A1)
127. allonger (verb, A1)
128. allumer (verb, A1)
129. allumette (noun, A1)
